FSZ,2.31E+11
FTCS,1.22E+11
FTD,7.11E+11
FTEK,5.75E+10
FTGC,1.83E+11
FTHI,6.11E+09
FTLB,5.03E+09
FTNT,5990000
FTR,5750000
FTRPR,0
FTSL,3.11E+11
FTSM,1.29E+11
FTW,9.15E+09
FUEL,1.35E+11
FULL,6.52E+10
FULLL,0
FULT,2500000
FUNC,6.39E+10
FUND,1.38E+11
FV,4240000
FWM,4.45E+10
FWP,9.36E+11
FWRD,1480000
FXCB,2.09E+11
FXEN,6.15E+10
FXENP,1.98E+10
GABC,4.48E+11
GAI,1.86E+10
GAIA,1.64E+11
GAIN,2.30E+11
GAINN,0
GAINO,0
GAINP,0
GALE,2.38E+11
GALT,5.15E+10
GALTU,0
GALTW,0
GARS,2.14E+11
GASS,1.59E+11
GBCI,2210000
GBDC,8.73E+11
GBIM,2.01E+10
GBLI,7.52E+11
GBLIZ,0
GBNK,3.73E+11
GBSN,0
GBT,1580000
GCBC,1.21E+11
GCTS,0
GCVRZ,0
GDEF,5.82E+10
GDEN,2.23E+11
GENC,9.70E+10
GENE,2.72E+10
GEOS,1.50E+11
GERN,6.52E+11
GEVO,2.27E+10
GFED,6.34E+10
GFN,1.08E+11
GFNCP,0
GFNSL,0
GGAC,1.83E+11
GGACR,0
GGACU,1.31E+11
GGACW,0
GGAL,3700000
GHDX,9.34E+11
GIFI,1.40E+11
GIGA,7.26E+09
GIGM,3.21E+10
GIII,2070000
GILD,1.54E+08
GILT,1.51E+11
GK,1340000
GLAD,1.83E+11
GLADO,5.62E+10
GLBL,9.38E+11
GLBS,2.98E+09
GLBZ,3.30E+10
GLDC,5.23E+10
GLDD,2.59E+11
GLDI,1.41E+11
GLMD,9.60E+10
GLNG,2510000
GLPG,1910000
GLPI,3160000
GLRE,7.58E+11
GLRI,2.61E+10
GLSS,0
GLUU,4.32E+11
GLYC,1.33E+11
GMAN,5.41E+10
GMCR,7310000
GMLP,9.21E+11
GNBC,3.41E+11
GNCA,1.66E+11
GNCMA,8.04E+11
GNMA,6.02E+10
GNMK,3.00E+11
GNOW,6.41E+09
